Title,Rating,Votes,Duration,Genre
Beverly Hills Cop: Axel F,6.4,81K,1h 58m,Action
Maharaja,8.4,66K,2h 21m,Action
Survive,4.6,2.3K,1h 30m,Action
The Instigators,6.2,37K,1h 41m,Action
Twilight of the Warriors: Walled In,7.0,9.3K,2h 6m,Action
Drive-Away Dolls,5.4,23K,1h 24m,Action
Absolution,5.2,7.7K,1h 52m,Action
Apocalypse Z: The Beginning of the End,6.1,20K,1h 57m,Action
Azrael,5.4,10K,1h 26m,Action
Classified,3.6,2.4K,1h 45m,Action
Atlas,5.6,56K,1h 58m,Action
The Prosecutor,6.7,1.7K,1h 57m,Action
Rebel Moon - Part Two: The Scargiver,5.3,59K,2h 2m,Action
Descendants: The Rise of Red,4.7,7K,1h 31m,Action
Kalki 2898 AD,7.0,66K,3h,Action
Long Gone Heroes,5.2,1K,1h 41m,Action
Brothers,5.4,13K,1h 29m,Action
Canary Black,5.3,11K,1h 41m,Action
Under Paris,5.2,36K,1h 44m,Action
Trigger Warning,4.6,19K,1h 46m,Action
Armor,3.6,3.7K,1h 29m,Action
Watchmen: Chapter I,7.0,6.4K,1h 23m,Action
One More Shot,5.4,3.6K,1h 43m,Action
Amaran,8.2,18K,2h 47m,Action
The Shadow Strays,6.5,9.1K,2h 24m,Action
Jackpot!,5.8,30K,1h 46m,Action
Cash Out,4.8,2.9K,1h 32m,Action
Weekend in Taipei,5.7,4.5K,1h 40m,Action
The Silent Hour,6.1,7.3K,1h 39m,Action
Duchess,4.6,1.3K,1h 54m,Action
Watchmen: Chapter II,7.0,2.9K,1h 30m,Action
Red Right Hand,5.5,5.8K,1h 51m,Action
Chief of Station,4.7,4.6K,1h 37m,Action
Fighter,6.2,52K,2h 46m,Action
Boneyard,4.1,5K,1h 36m,Action
Rogue Elements: A Ryan Drake Story,4.7,947,44m,Action
Hitpig,5.1,907,1h 26m,Action
Aavesham,7.8,28K,2h 35m,Action
Karma,8.0,1.4K,2h 47m,Action
Harbin,6.4,564,1h 48m,Action
Baby Invasion,4.6,393,1h 20m,Action
Uprising,6.6,5.4K,2h 6m,Action
No Way Up,4.6,10K,1h 30m,Action
Baby John,5.4,17K,2h 39m,Action
Megamind vs. The Doom Syndicate,2.5,5.5K,1h 23m,Action
Sikandar Ka Muqaddar,6.0,24K,2h 22m,Action
The Fix,4.6,1.2K,1h 38m,Action
River of Blood,5.3,1.7K,1h 26m,Action
Black Heat,8.6,117,1h 33m,Action
Viduthalai Part 2,7.9,16K,2h 50m,Action
The Wages of Fear,4.6,4.1K,1h 44m,Action
Damaged,4.7,7.2K,1h 37m,Action
Devil's Knight,5.4,809,1h 30m,Action
Dominique,5.3,2.2K,1h 40m,Action
The Quiet Ones,6.4,655,1h 50m,Action
Take Cover,5.1,2.4K,1h 30m,Action
Overlord: The Sacred Kingdom,6.9,883,2h 15m,Action
Operation Undead,4.6,393,1h 50m,Action
Devara Part 1,6.0,20K,2h 56m,Action
Role Play,5.5,19K,1h 40m,Action
Justice League: Crisis on Infinite Earths - Part One,6.2,8.4K,1h 33m,Action
Justice League: Crisis on Infinite Earths - Part Three,6.1,4.4K,1h 34m,Action
Trouble,6.2,6.7K,1h 38m,Action
Levels,5.0,1.5K,1h 33m,Action
Prey,3.7,3.3K,1h 26m,Action
Singham Again,4.8,75K,2h 24m,Action
Bangkok Dog,5.0,150,1h 25m,Action
Anaconda,4.8,624,1h 24m,Action
Hagen,6.1,1.2K,2h 19m,Action
The Thundermans Return,5.0,1.8K,1h 10m,Action
Night Call,6.8,1.9K,1h 37m,Action
My Spy: The Eternal City,5.7,11K,1h 52m,Action
Dark Match,5.5,921,1h 34m,Action
The Roundup: Punishment,6.6,5.2K,1h 49m,Action
Hounds of War,4.5,1.7K,1h 35m,Action
Hanu Man,7.7,29K,2h 38m,Action
Rifle Club,7.0,4.1K,1h 53m,Action
Jigra,6.0,23K,2h 33m,Action
Mafia Wars,3.4,233,1h 34m,Action
"I, the Executioner",6.3,1.7K,1h 58m,Action
The Price of Money: A Largo Winch Adventure,5.0,1.1K,1h 40m,Action
Badland Hunters,5.9,12K,1h 47m,Action
Sunray: Fallen Soldier,4.3,622,1h 55m,Action
Ultraman: Rising,6.9,6.3K,1h 57m,Action
The Clean Up Crew,4.1,1.1K,1h 35m,Action
Death Whisperer 2,6.4,1.3K,1h 50m,Action
Bougainvillea,6.4,3.1K,2h 18m,Action
Officer Black Belt,6.8,8.1K,1h 48m,Action
Panda Plan,5.1,1.2K,1h 39m,Action
Code 8: Part II,5.7,16K,1h 40m,Action
Pani,6.9,2.9K,2h 23m,Action
The Courier,6.0,4.4K,1h 41m,Action
Joe Baby,7.3,30,1h 26m,Action
Air Force One Down,4.4,2.9K,1h 24m,Action
Cesium Fallout,6.6,569,2h 16m,Action
11 Rebels,6.2,358,2h 35m,Action
Rats!,6.5,114,1h 25m,Action
A Legend,4.7,885,2h 9m,Action
My Hero Academia: You're Next,7.0,2K,1h 50m,Action
Cloud,6.3,1K,2h 4m,Action
Vanvaas,6.6,1.3K,2h 40m,Action
Kill Em All 2,4.1,1.3K,1h 28m,Action
Dan Da Dan: First Encounter,8.2,2.7K,1h 23m,Action
Article 370,7.8,25K,2h 38m,Action
Darkness of Man,4.8,3.1K,1h 49m,Action
200% Wolf,5.9,1.3K,1h 38m,Action
Latency,4.2,2.4K,1h 34m,Action
Elyas,6.1,1.3K,1h 45m,Action
