Title,Rating,Votes,Duration,Genre
Lost & Found in Cleveland,8.4,30,PG-13,Comedy
Irish Wish,5.2,21K,1h 33m,Comedy
Megamind vs. The Doom Syndicate,2.5,5.5K,1h 23m,Comedy
Find Me Falling,6.3,13K,1h 33m,Comedy
Family Pack,5.5,8.9K,1h 34m,Comedy
Beautiful Wedding,4.1,4.1K,1h 40m,Comedy
The Best Christmas Pageant Ever,6.8,6.1K,1h 39m,Comedy
Orion and the Dark,6.3,17K,1h 33m,Comedy
Dongeng Sang Kancil,6.8,154,1h 39m,Comedy
Reunion,5.6,3.5K,1h 30m,Comedy
The Problem with People,5.8,395,1h 42m,Comedy
The American Society of Magical Negroes,3.7,12K,1h 44m,Comedy
This Is Me... Now,4.1,7.1K,1h 5m,Comedy
Universal Language,7.1,1.2K,1h 29m,Comedy
Hot Frosty,5.3,15K,1h 32m,Comedy
Munjya,6.3,25K,2h 3m,Comedy
Sasquatch Sunset,5.4,5.4K,1h 28m,Comedy
Summer Camp,4.5,1.5K,1h 35m,Comedy
Role Play,5.5,19K,1h 40m,Comedy
Let's Start a Cult,5.9,1.4K,1h 30m,Comedy
Shabab Albomb,4.8,270,1h 45m,Comedy
Trouble,6.2,6.7K,1h 38m,Comedy
My Favourite Cake,7.4,7.1K,1h 37m,Comedy
Vulgar,5.5,126,1h 43m,Comedy
Bookworm,6.0,1.8K,1h 43m,Comedy
Players,5.7,12K,1h 45m,Comedy
The Thundermans Return,5.0,1.8K,1h 10m,Comedy
On Becoming a Guinea Fowl,7.1,814,1h 39m,Comedy
Wallbanger,5.6,659,1h 58m,Comedy
Sookshma Darshini,7.8,9.9K,2h 22m,Comedy
Chuck Billy and the Marvelous Guava Tree,7.5,919,1h 30m,Comedy
My Spy: The Eternal City,5.7,11K,1h 52m,Comedy
And Mrs,5.8,736,1h 51m,Comedy
Boot Camp,5.8,1.1K,1h 34m,Comedy
The Fabulous Four,4.8,1.5K,1h 38m,Comedy
Space Cadet,5.0,10K,1h 50m,Comedy
Jönssonligan kommer tillbaka,5.9,1.3K,1h 44m,Comedy
The Radleys,5.0,2.7K,1h 55m,Comedy
Am I Racist?,6.7,17K,1h 40m,Comedy
This Time Next Year,5.6,2.2K,1h 56m,Comedy
A Little Something Extra,7.0,4.8K,1h 39m,Comedy
Love in the Big City,7.5,1.4K,1h 58m,Comedy
Street Trash,4.5,812,1h 25m,Comedy
